"Libellé Sortie";"Code Enquète";"Observateurs";"Num Enquéte";"Heure Début";"Enquete Hors Panier";"Panier Complet";"Pecheur Sensibilisé";"Pecheur enqueté";"Constitution Groupe";"Nb adultes";"Nb enfants";"Nb tous petits";"Nb pecheurs groupe";"Nb Pecheurs Sensibilises";"Nb Reglettes";"Nb Depliants";"Observations";"Annuaire de marée";"Etat Sanitaire";"Source d'information";"Equipé Téléphone portable";"Connaissance Numéro Secours";"Numéro Secours";"Critéres choix site"
"Cap Gris Nez_14/09/2014_AM_182";;"AM";"182.0";"11:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";6;0;;6;;;;;"Oui";"Non";"Aucune";;;;"Accessibilité (parkings …)"
"Cap Gris Nez_15/05/2014_AM_210";;"AM";"210.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/05/2014_AM_211";;"AM";"211.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_183";;"AM";"183.0";"09:40";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_184";;"AM";"184.0";"08:05";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_185";;"AM";"185.0";"08:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";3;1;;4;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_186";;"AM";"186.0";"08:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_187";;"AM";"187.0";"09:06";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;2;;5;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_188";;"AM";"188.0";"09:15";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";5;0;;5;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_189";;"AM";"189.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_190";;"AM";"190.0";"10:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;1;;3;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_191";;"AM";"191.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_192";;"AM";"192.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";9;0;;9;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_193";;"AM";"193.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_194";;"AM";"194.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";8;0;;8;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_195";;"AM";"195.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";4;0;;4;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_196";;"AM";"196.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";6;0;;6;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_197";;"AM";"197.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";1;1;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_198";;"AM";"198.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_199";;"AM";"199.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";1;1;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_200";;"AM";"200.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
